id	level	cost	damage	range	rof	clipsize
1	1	50	3	6	0.2	12
1	2	60	4	6	0.2	12
1	3	70	5	6	0.2	12
2	1	120	4	8	0.15	24
2	2	130	5	8	0.15	24
2	3	140	6	8	0.15	24
3	1	100	2	5	0.6	5
3	2	110	3	5	0.6	5
3	3	120	4	5	0.6	5
4	1	135	20	10	0.5	3
4	2	140	22	10	0.5	3
4	3	150	24	10	0.5	3
5	1	160	20	6	0.2	12
5	2	165	20	6	0.2	12
5	3	170	25	6	0.2	12
6	1	180	25	8	0.15	24
6	2	185	30	8	0.15	24
6	3	190	35	8	0.15	24
7	1	207	30	5	0.6	5
7	2	210	30	5	0.6	5
7	3	220	40	5	0.6	5
8	1	230	34	10	0.5	3
8	2	240	34	10	0.5	3
8	3	250	40	10	0.5	3
9	1	254	38	6	0.2	12
9	2	260	40	6	0.2	12
9	3	270	45	6	0.2	12
10	1	277	44	8	0.15	24
10	2	280	44	8	0.15	24
10	3	290	50	8	0.15	24
11	1	301	45	5	0.6	5
11	2	310	45	5	0.6	5
11	3	320	50	5	0.6	5
